term_str,PC1,PC2,PC3,PC4,PC5
accelerating,7.839308237766752e-05,-0.00019597637285737176,-0.000283907396024665,0.0004053893031073026,-0.0005787523899560718
acceleration,-0.0008383842931644242,-0.0008883464185903214,-0.0012540557279975418,0.0020876126349257977,0.0001921500864588873
accelerator,-0.0006995722767740737,-0.00045702804008710416,-0.0006173051375208571,-0.0005902638834049341,0.0013189959436787555
accent,-0.0030033688705085873,-0.004115048734444887,-0.0044529150607667736,-0.0027707812725084333,-0.0019622006148197943
accented,-0.0009017806433509191,-0.0010541913311817102,-0.0012092688262922565,-0.00040519598835576573,-0.0008252026306584527
accentuate,5.952565967295528e-05,1.1325625998105036e-05,-2.1770536792791982e-05,-5.770644312690593e-05,0.0001244890759986134
accentuated,0.0015136580803833026,0.0003003699034007869,0.00031736845817998836,0.0005207192733084721,0.0008863071297377405
accentuating,0.0007846958887756213,0.00013335313799192584,8.92432863689211e-05,0.00016643088953752325,-0.00010935704749160963
accentuation,5.391324102689621e-05,-2.8143052520528882e-05,-4.5523550889250955e-05,-0.00013739039307998242,-0.00019572033077206802
accept,-0.0017310125751812786,0.0009726158732537687,-0.002339967310897358,6.549749214866102e-05,-0.001340621007052093
acceptable,-0.0009761455021879582,-0.0006766225349041069,-0.000954281816360235,-0.00036747380347637923,-0.0003138011625088525
acceptance,0.0012879187462371934,0.00042336644386813967,0.0005072235504938518,0.0003143765670625449,-0.0025134645127077786
acceptation,4.994185285488953e-05,-3.383984011943078e-05,-6.83527040868191e-05,-0.00018985147890962338,-0.0002072562551030817
accepted,-0.0011480847614690043,7.216531993289619e-05,-0.0012053154186959692,-0.0003711176009354841,0.00017945977681716854
accepting,-0.0010077053769177425,-0.0010531664747380324,-0.0020355235395614797,-0.001305573401248555,0.00039260667506291826
accepts,-0.0002278362273383706,-0.000187360151764717,-0.0002302504559716972,-5.031672288466178e-05,7.362336941105929e-05
access,-1.2964041605389152e-05,-0.001253571278825676,0.0015102839504032533,0.00042737603082519204,-0.00016877045007137557
accessible,0.0003287421638380438,-0.0002835626650128902,0.0006486676076038802,0.00022016640905151338,0.0005183033584520941
accession,0.0005966551017449579,3.868307653625516e-08,-2.6528833129065206e-06,-0.00018545879307406248,-0.0004652450363687417
accessory,4.994185285488953e-05,-3.383984011943078e-05,-6.83527040868191e-05,-0.00018985147890962338,-0.0002072562551030817
accident,0.003242552005584846,0.0007284309202650163,-0.00014038157395768503,0.001600254312569917,-0.002279296281610413
accidental,0.0006476169700641849,0.0003764338720069418,-0.0001913930218254093,-0.0004344278383481434,0.00019012019657723455
accidentally,-0.0007119123892855678,-0.0006096924453883271,-0.0030169271826312742,-0.005599962875435486,0.0031530409813786617
acclaim,0.0004290994786624798,0.00011628928478831203,3.242306606268618e-05,0.00015907628392836679,0.0005425009903591367
acclaimed,0.0006518931990175117,3.52561124087399e-05,0.00012573713261096434,7.719366024906155e-05,-0.00047866760072769724
acclaiming,-7.609270085812403e-05,-7.208458519482152e-05,-6.073725767918939e-05,5.6353574502813805e-05,7.066945172954182e-05
acclamation,4.2237016603156765e-05,-8.241345070987164e-05,-0.0002397730049024735,-0.00047534672228097843,-0.00016889759534976823
acclimate,-7.609270085812403e-05,-7.208458519482152e-05,-6.073725767918939e-05,5.6353574502813805e-05,7.066945172954182e-05
acclimated,0.0006518931990175117,3.52561124087399e-05,0.00012573713261096434,7.719366024906155e-05,-0.00047866760072769724
acclimatize,4.580633982026379e-06,-2.43067628235691e-05,-8.537253149632198e-05,-0.00019319464798170366,-4.625143197154378e-05
acclimatized,1.2846761921312414e-06,-9.258216892619301e-06,-3.002284329127141e-05,-7.24417540614677e-05,-3.33483352533198e-05
acclimatizing,3.7780405653991958e-06,-1.7606679091443608e-05,-6.43346075627311e-05,-0.00014108540956698031,-1.777076760906159e-05
acclivity,0.00011387779021616444,-0.0001403718288872134,-0.0003418094800460302,-0.0007042012987040213,-0.0005006792265750621
accommodate,-0.0005040882342344196,0.0011276550762623582,0.0017734657942557238,0.000883631105264368,0.00020404340874348833
